transaction_id,customer_id,amount,transaction_hour,payment_method,location,device_type,is_new_device,location_mismatch,previous_failed_transactions,transactions_last_24h,account_age_days,customer_avg_transaction_amount,is_weekend,fraud_label
TXN0000001,CUST00861,3600.25,15,UPI,Noida,iOS,0,1,2,2,10,2077.38,1,0
TXN0000002,CUST01295,236.95,9,Net Banking,Kolkata,Android,0,0,0,1,642,3058.89,0,0
TXN0000003,CUST01131,742.11,22,Credit Card,Mumbai,Android,1,0,1,2,528,1585.13,0,0
TXN0000004,CUST01096,1290.73,18,Debit Card,Mumbai,Android,1,0,0,3,242,633.32,1,0
TXN0000005,CUST01639,3636.16,9,Credit Card,Noida,Android,0,0,0,5,255,357.75,0,0
TXN0000006,CUST02170,21894.1,11,Debit Card,Gurugram,Android,0,1,1,8,142,765.77,1,1
TXN0000007,CUST00467,1433.02,21,Debit Card,Gurugram,Android,0,0,0,4,253,3651.59,0,0
TXN0000008,CUST01239,440.79,21,Credit Card,Noida,iOS,0,0,3,4,216,2713.78,0,0
TXN0000009,CUST00331,2691.38,12,Net Banking,Delhi,Android,0,0,0,3,2144,2835.61,0,0
TXN0000010,CUST01483,6744.87,1,UPI,Chennai,iOS,0,0,1,2,418,714.01,0,0
TXN0000011,CUST02136,2005.31,2,Debit Card,Kolkata,iOS,1,0,1,3,523,2118.28,0,0
TXN0000012,CUST00131,726.98,10,Debit Card,Jaipur,iOS,0,0,1,5,12,839.78,0,0
TXN0000013,CUST01686,4691.63,16,UPI,Pune,Web,0,0,1,3,1054,1460.6,0,0
TXN0000014,CUST00770,3495.0,16,UPI,Delhi,Android,1,0,0,2,844,730.1,1,0
TXN0000015,CUST02392,645.14,17,Net Banking,Jaipur,Android,0,0,0,3,432,1940.78,0,0
TXN0000016,CUST01516,2635.87,18,UPI,Pune,iOS,1,1,2,3,901,965.3,0,0
TXN0000017,CUST02434,4879.55,0,UPI,Hyderabad,Android,0,0,1,3,107,2649.12,1,0
TXN0000018,CUST01216,5868.96,6,Credit Card,Bengaluru,Web,0,0,0,3,356,2278.23,1,0
TXN0000019,CUST00956,1684.28,11,UPI,Hyderabad,Android,0,1,3,3,164,1331.05,0,0
TXN0000020,CUST02325,1258.23,8,Wallet,Noida,Android,1,0,1,2,538,545.4,1,0
TXN0000021,CUST01185,6141.45,5,UPI,Pune,iOS,0,0,0,6,584,1272.28,0,0
TXN0000022,CUST00460,536.67,17,UPI,Gurugram,Android,0,0,0,2,2537,1661.94,0,0
TXN0000023,CUST00022,2790.91,19,Debit Card,Chennai,Android,0,0,0,2,11,1325.95,0,0
TXN0000024,CUST02301,457.38,18,UPI,Gurugram,Web,0,0,0,4,265,1749.24,0,0
TXN0000025,CUST00748,5223.48,19,Credit Card,Hyderabad,Android,0,0,0,2,1769,2321.79,0,0
TXN0000026,CUST00475,1390.61,17,Debit Card,Hyderabad,Android,0,1,0,3,2087,961.47,1,0
TXN0000027,CUST01083,6400.46,18,Debit Card,Pune,Android,0,0,3,2,506,2256.0,0,0
TXN0000028,CUST02048,2942.32,10,Debit Card,Jaipur,Android,0,0,0,3,502,2743.47,1,0
TXN0000029,CUST00976,529.71,23,UPI,Kolkata,Android,0,0,0,3,330,2141.25,0,0
TXN0000030,CUST01807,7481.36,8,UPI,Mumbai,Android,0,0,0,2,143,3470.41,1,0
